"","Provider.ID","QC-T-ed_1b","QC-T-op_3b","QC-T-op_20","QC-T","QC-CP-op_6","QC-CP-op_7","QC-CP-pn_6","QC-CP-scip_inf_1","QC-CP-scip_inf_2","QC-CP-scip_inf_3","QC-CP-scip_vte_2","QC-CP-stk_6","QC-CP-vte_3","QC-CP-vte_6","QC-CP","QC-AD-readm_30_ami","QC-AD-readm_30_copd","QC-AD-readm_30_cabg","QC-AD-readm_30_hf","QC-AD-readm_30_pn","QC-AD-readm_30_hipknee","QC-AD-readm_30_stk","QC-AD","PD-mort_30_copd","PD-mort_30_cabg","PD-mort_30_ami","PD-mort_30_hf","PD-mort_30_pn","PD-mort_30_stk","QC","PD","PW","QS"
"39","100029",0.923777019340159,NA,0.503577817531306,0.713677418435733,0.986666666666667,0.983870967741935,0.9875,1,0.989010989010989,0.989010989010989,0.99,0.98780487804878,0.96875,1,0.988261449047936,0.74761077324066,0.107708836959441,0.297528517110266,0.112940571134551,0.0745209368346345,NA,0.0102827763496144,0.225098735271528,0.072722283205269,0.605089538171536,0.72146847565842,0.672368421052632,0.404795821462488,0.123143788482434,21.4115289195022,14.4421573779599,2.08333333333333,37.9370196307954
"40","100030",0.920648464163823,NA,0.993440667859273,0.957044566011548,1,0.935483870967742,0.975,1,0.989010989010989,1,1,0.963414634146341,1,NA,0.984767721569452,0.715899218071242,0.617244157937147,NA,0.637252379727296,0.63236337828247,0.16012954300108,0.259640102827764,0.503754796641167,0.153677277716795,NA,0.272944932162809,0.28078947368421,0.280151946818613,0.522274538210793,27.1729676024685,10.0655877906215,6.25,43.48855539309
"41","100032",0.532423208191126,NA,0.755813953488372,0.644118580839749,0.986666666666667,0.983870967741935,0.975,0.99,0.978021978021978,1,0.99,0.926829268292683,0.765625,0.746478873239437,0.93424927539627,0.131190269331017,0.288208434058555,0.432509505703422,0.937741188577309,0.0222379938490656,0.198272759985606,0.259640102827764,0.324257179190391,0.546377607025247,0.672950047125353,0.129688747007183,0.728684210526316,0.754273504273504,0.977544367982615,21.1402781714046,21.1639915774457,0.416666666666667,42.7209364155169
"42","100034",0.81683731513083,NA,0.503577817531306,0.660207566331068,0.986666666666667,0.951612903225806,0.9875,1,1,1,1,0.939024390243902,0.765625,1,0.963042896013638,0.553431798436143,0.140746709642761,0.788973384030418,0.146899922819655,0.43222143364088,0.768261964735516,0.0602276900477414,0.412966129050445,0.961031833150384,0.885014137606032,0.989225857940942,0.948684210526316,0.993114909781576,0.996378123868164,22.6246287932795,32.074717071519,3.75,58.4493458647984
"43","100035",0.791240045506257,NA,0.722122838401908,0.756681441954083,1,0.983870967741935,1,0.99,0.978021978021978,1,0.99,0.975609756097561,0.953125,1,0.987062770186147,0.807124239791486,0.542841794251947,0.432509505703422,0.971186004630821,0.43222143364088,0.287153652392947,0.9386705839148,0.6302438877609,0.0120746432491767,0.167766258246937,0.113328012769354,0.144473684210526,0.241690408357075,0.303513219847881,26.377645554457,5.46025681489416,5,36.8379023693512
"44","100038",0.794937428896473,NA,0.340488968395945,0.567713198646209,1,1,1,1,1,1,1,0.975609756097561,0.984375,1,0.995998475609756,0.475238922675934,0.211120064464142,0.602661596958175,0.611525598147672,0.928554530399811,0.16012954300108,0.290488431876607,0.468531241074774,0.417672886937431,0.997172478793591,0.800877893056664,0.895263157894737,0.381291547958215,0.390800434625136,22.5804768370082,21.5726577736987,11.25,55.403134610707
"45","100039",0.791240045506257,NA,0.277877161598092,0.534558603552175,1,0.983870967741935,1,1,1,1,1,0.98780487804878,1,1,0.997167584579072,0.891398783666377,0.156594144507118,0.696768060836502,0.859789040391047,0.63236337828247,0.637639438646995,0.840984208593463,0.673648150703425,0.338090010976948,0.605089538171536,0.355147645650439,0.948684210526316,0.879154795821462,0.284317276349149,24.5041593203852,18.9471304305325,0.833333333333333,44.2846230842511
"46","100040",0.827645051194539,NA,0.921884317233154,0.874764684213847,1,0.983870967741935,1,1,1,1,1,0.975609756097561,0.984375,0.957746478873239,0.990160220271274,0.21372719374457,0.0155788342734354,0.900190114068441,0.322356573192694,0.0667139815471965,0.48722562072688,0.00771208226221076,0.287643485687918,0.417672886937431,0.258246936852026,0.821628092577813,0.941052631578947,0.227920227920228,0.909815284317276,23.9174265574782,19.8685336676874,2.91666666666667,46.7026268918322
"47","100043",0.687713310580205,NA,0.620751341681574,0.65423232613089,1,1,0.9625,1,1,1,0.99,1,1,NA,0.994722222222222,0.29496090356212,0.34085414987913,NA,0.581682531515307,0.9680624556423,0.768261964735516,0.150569225119354,0.517398538408954,0.679198682766191,NA,0.233439744612929,0.0760526315789474,0.280151946818613,0.522274538210793,24.0705898529118,11.9407836265832,10.8333333333333,46.8447068128283
"48","100044",0.879124004550626,NA,0.0954084675014908,0.487266236026058,0.986666666666667,0.967741935483871,0.925,0.99,0.967032967032967,0.956043956043956,0.98,0.914634146341463,0.828125,1,0.951524467156892,0.0199826238053866,0.542841794251947,0.134980988593156,0.887573964497041,0.830376153300213,0.561353004677942,0.538376790304811,0.502212188490071,0.308177826564215,0.426013195098963,0.949720670391061,0.7,0.551519468186135,0.390800434625136,21.5666987963669,18.4790644159195,0.833333333333333,40.8790965456198
