Provider.ID,QC-T-ed_1b,QC-T-op_3b,QC-T-op_20,QC-T,QC-CP-op_6,QC-CP-op_7,QC-CP-pn_6,QC-CP-scip_inf_1,QC-CP-scip_inf_2,QC-CP-scip_inf_3,QC-CP-scip_vte_2,QC-CP-stk_6,QC-CP-vte_3,QC-CP-vte_6,QC-CP,QC-AD-readm_30_ami,QC-AD-readm_30_copd,QC-AD-readm_30_cabg,QC-AD-readm_30_hf,QC-AD-readm_30_pn,QC-AD-readm_30_hipknee,QC-AD-readm_30_stk,QC-AD,PD-mort_30_copd,PD-mort_30_cabg,PD-mort_30_ami,PD-mort_30_hf,PD-mort_30_pn,PD-mort_30_stk,QC,PD,PW,QS,State
420018,0.943970421,,0.566189624,0.755080023,0.973333333,0.967741935,0.9125,1,1,0.967032967,0.99,0.975609756,0.9375,0.901408451,0.962512644,0.432232841,0.652162235,0.05608365,0.910728068,0.510527561,0.925152933,0.134777819,0.517380729,0.796377607,0.844486334,0.939345571,0.854210526,0.117996201,0.057950018,24.83303774,20.05759032,17.5,62.39062805,SC
420019,0.381114903,,0.990161002,0.685637953,1,1,0.95,0.94,0.901098901,1,1,,,,0.970156986,,0.34085415,,0.416773862,0.394369529,,0.317664341,0.36741547,0.175905598,,,0.7,0.480294397,0.628757696,22.48011565,16.5413141,7.916666667,46.93809642,SC
420020,0.457622298,,0.447823494,0.452722896,0.96,0.983870968,0.9375,1,1,0.945054945,0.98,1,1,,0.978491768,0.011728931,0.867848509,,0.367378441,0.112136267,0.083483267,0.420492104,0.310511253,0.796377607,,0.355147646,0.332105263,0.428774929,0.603404564,19.3525102,16.77206672,7.916666667,44.04124358,SC
420023,0.662116041,,0.665175909,0.663645975,0.986666667,1,1,1,0.989010989,0.989010989,1,0.987804878,1,0.943661972,0.989615549,0.637271937,0.957292506,0.696768061,0.999485464,0.968062456,0.979489025,0.991186192,0.88993652,0.028265642,0.844486334,0.839584996,0.031842105,0.128442545,0.372328866,28.25775605,12.47194716,14.16666667,54.89636988,SC
420026,0.85665529,,0.825581395,0.841118343,1,0.983870968,0.9,0.99,0.989010989,0.967032967,1,0.975609756,0.953125,0.732394366,0.949104405,0.934404865,0.990061778,0.642585551,0.928994083,0.155665957,0.561353005,0.955196474,0.738323102,0.084248079,0.295004713,0.579409417,0.580789474,0.937559354,0.654473017,28.09495388,17.39713363,12.91666667,58.40875418,SC
420027,0.710466439,,0.968395945,0.839431192,0.986666667,0.983870968,0.9875,1,1,0.989010989,1,0.975609756,0.9375,0.929577465,0.978973584,0.240225891,0.436744561,0.981939163,0.390275277,0.074520937,0.561353005,0.709144326,0.484886166,0.763446762,0.373232799,0.904229848,0.280789474,0.404795821,0.884099964,25.59212158,20.05885927,10,55.65098085,SC
420030,0.347554039,,0.154740608,0.251147323,1,1,0.975,1,1,1,1,1,1,,0.997222222,0.432232841,0.172978781,,0.090043736,0.596640643,0.240014394,0.290488432,0.303733138,0.905049396,,0.257781325,0.643421053,0.551519468,0.553422673,17.24558537,19.40795943,5.833333333,42.48687814,SC
420033,0.69112628,0.772616137,0.953190221,0.805644212,0.986666667,0.935483871,0.95,1,1,0.978021978,1,1,1,,0.983352502,,0.68627451,,0.611525598,0.245091081,0.898164807,,0.610263999,0.763446762,,,0.775789474,0.683998101,,26.65845237,24.70260373,27.08333333,78.44438944,SC
420036,0.341581342,0.180929095,0.795169946,0.439226795,1,0.967741935,0.9875,1,1,0.989010989,1,1,1,,0.99380588,0.131190269,0.260542573,,0.059943401,0.269458245,0.240014394,0.938670584,0.316636578,0.37650933,,0.233439745,0.144473684,0.020655271,0.132560666,19.44076948,6.050924642,15.41666667,40.90836078,SC
420037,0.843003413,,0.949612403,0.896307908,1,1,0.975,1,1,0.989010989,1,,1,,0.995501374,,0.928552243,,0.367378441,0.830376153,0.707808564,,0.70852885,0.222283205,,,0.612894737,0.428774929,,28.89264591,14.04392079,20,62.9365667,SC
420038,0.702502844,,0.890876565,0.796689705,1,1,0.95,0.99,1,1,0.99,0.853658537,0.734375,,0.946448171,,0.579102874,,0.416773862,0.632363378,0.637639439,0.749540947,0.6030841,0.106750823,,0.257781325,0.612894737,0.024453941,0.413980442,26.06913306,9.439075119,7.916666667,43.42487485,SC
420039,0.254550626,,0.418008348,0.336279487,,,0.9375,1,0.901098901,,0.9,1,0.90625,,0.94080815,,0.045930701,,0.263184976,0.47125621,,0.459787,0.310039722,0.175905598,,,0.817894737,0.658831909,0.500181094,17.63474843,17.94011115,14.58333333,50.15819291,SC
420043,0.597838453,0.721271394,0.535181872,0.61809724,0.906666667,1,0.95,1,1,1,1,1,1,,0.984074074,,0.370668815,,0.611525598,0.553820677,0.064771501,0.494307749,0.419018868,0.458013172,,,0.130526316,0.789411206,0.500181094,22.45766868,15.65109823,0.416666667,38.52543358,SC
420048,0.671786121,0.608801956,0.873285629,0.717957902,0.986666667,0.983870968,0.95,1,0.989010989,0.978021978,1,0.914634146,0.90625,,0.967606083,0.593831451,0.288208434,,0.899665552,0.044239413,0.768261965,0.58207859,0.529380901,0.458013172,,0.800877893,0.580789474,0.789411206,0.950380297,24.61049873,23.86314695,12.08333333,60.55697901,SC
420049,0.491751991,0.921760391,0.535181872,0.649564751,0.973333333,0.983870968,0.975,0.99,0.989010989,0.989010989,1,1,0.921875,1,0.982210128,0.593831451,0.867848509,,0.910728068,0.510527561,0.34041022,0.910760191,0.689017667,0.016739846,,0.301675978,0.836052632,0.332146249,0.009416878,25.78658384,9.973543882,12.5,48.26012773,SC
420051,0.869738339,,0.984794275,0.927266307,1,0.967741935,0.95,1,1,0.989010989,1,0.975609756,0.90625,0.957746479,0.974635916,0.85621199,0.74993285,0.345057034,0.720349884,0.074520937,0.925152933,0.709144326,0.625767136,0.038419319,0.605089538,0.650837989,0.643421053,0.108974359,0.873958711,28.0852151,16.22611649,17.5,61.8113316,SC
420053,0.572810011,,0.683959451,0.628384731,,,1,0.99,1,0.978021978,1,0.87804878,1,,0.978010108,,0.260542573,,0.765114484,0.858291933,0.561353005,0.58207859,0.605476117,0.222283205,,0.301675978,0.096578947,0.522079772,0.766751177,24.57634396,12.7291272,15.41666667,52.72213783,SC
420054,0.106370876,,0.447823494,0.277097185,,,1,,,,,,,,1,,0.506849315,,0.63725238,0.269458245,,,0.471186646,0.248902305,,,0.525,0.381291548,,19.42537591,12.83548726,15.83333333,48.0941965,SC
420055,0.63850967,,0.807990459,0.723250065,1,1,0.9625,1,0.945054945,1,1,1,1,,0.989728327,0.131190269,0.172978781,,0.122202213,0.044239413,,0.259640103,0.146050156,0.136388584,,0.773343974,0.059736842,0.078110161,0.372328866,20.65587275,9.466056189,6.25,36.37192894,SC
420057,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,SC
420062,0.212741752,,0.041443053,0.127092403,,,1,1,0.923076923,1,1,1,1,,0.989010989,,0.716626377,,0.416773862,0.136740005,,0.348879912,0.404755039,0.308177827,,0.387470072,0.553684211,0.632478632,0.372328866,16.898427,15.02759738,8.333333333,40.25935772,SC
420065,0.381114903,0.836185819,0.447823494,0.555041406,1,1,1,0.99,0.989010989,1,1,1,1,1,0.997901099,,0.975825947,,0.667095446,0.432221434,,0.669849431,0.686248064,0.763446762,,,0.796052632,0.928774929,0.922129663,24.87989521,28.42003321,17.08333333,70.38326175,SC
420066,0.50483504,,0.755813953,0.630324497,,,0.6375,0.55,0.703296703,,,0.390243902,,,0.570260151,,0.74993285,,0.416773862,0.510527561,,0.494307749,0.542885505,0.546377607,,,0.580789474,0.404795821,,19.37189059,17.02181002,12.5,48.89370062,SC
420067,0.829351536,,0.218246869,0.523799203,0.986666667,0.951612903,1,0.99,1,0.978021978,1,0.926829268,1,0.887323944,0.972045476,0.432232841,0.579102874,,0.367378441,0.881003075,0.007556675,0.53837679,0.467608449,0.796377607,,0.355147646,0.895263158,0.13960114,0.268743209,21.81614587,16.36755173,10.83333333,49.01703093,SC
420068,0.499715586,0.630806846,0.836314848,0.655612427,0.986666667,1,0.9375,0.99,0.967032967,0.956043956,0.99,0.963414634,0.921875,1,0.971253322,0.432232841,0.235562718,,0.171597633,0.09510291,0.768261965,0.629452809,0.388701813,0.338090011,,0.650837989,0.836052632,0.50379867,0.717493662,22.39519513,20.30848642,6.666666667,49.37034822,SC
420069,0.879124005,,0.866428145,0.872776075,0.586666667,0.919354839,0.9125,0.99,0.989010989,0.989010989,1,0.743902439,0.921875,,0.894702325,,0.617244158,,0.47234371,0.329074994,0.34041022,0.317664341,0.415347484,0.724753019,,,0.407105263,0.658831909,0.553422673,24.25362094,19.53427386,10.83333333,54.62122813,SC
